year,ch4,n2o
1973,  0.1696 ,  0.0197 
1974,  0.1696 ,  0.0197 
1975,  0.1423 ,  0.0443 
1976,  0.1406 ,  0.0458 
1977,  0.1406 ,  0.0458 
1978,  0.1389 ,  0.0473 
1979,  0.1389 ,  0.0473 
1980,  0.1326 ,  0.0499 
1981,  0.0802 ,  0.0626 
1982,  0.0795 ,  0.0627 
1983,  0.0782 ,  0.0630 
1984,  0.0704 ,  0.0647 
1985,  0.0704 ,  0.0647 
1986,  0.0704 ,  0.0647 
1987,  0.0704 ,  0.0647 
1988,  0.0704 ,  0.0647 
1989,  0.0704 ,  0.0647 
1990,  0.0704 ,  0.0647 
1991,  0.0704 ,  0.0647 
1992,  0.0704 ,  0.0647 
1993,  0.0704 ,  0.0647 
1994,  0.0617 ,  0.0603 
1995,  0.0531 ,  0.0560 
1996,  0.0434 ,  0.0503 
1997,  0.0337 ,  0.0446 
1998,  0.0240 ,  0.0389 
1999,  0.0215 ,  0.0355 
2000,  0.0175 ,  0.0304 
2001,  0.0105 ,  0.0212 
2002,  0.0102 ,  0.0207 
2003,  0.0095 ,  0.0181 
2004,  0.0078 ,  0.0085 
2005,  0.0075 ,  0.0067 
2006,  0.0076 ,  0.0075 
2007,  0.0072 ,  0.0052 
2008,  0.0072 ,  0.0049 
2009,  0.0071 ,  0.0046 
2010,  0.0071 ,  0.0046 
2011,  0.0071 ,  0.0046 
2012,  0.0071 ,  0.0046 
2013,  0.0071 ,  0.0046 
2014,  0.0071 ,  0.0046 
2015,  0.0068 ,  0.0042 
2016,  0.0065 ,  0.0038 
2017,  0.0054 ,  0.0018 
2018,  0.0052 ,  0.0016 
2019,  0.0051 ,  0.0015 
2020,  0.0050 ,  0.0014 
2021,  0.0050 ,  0.0014 
2022,  0.0050 ,  0.0014 
2023,  0.0050 ,  0.0014 
